MontoPagado;Interes;Plazo;Tipo;Mensualidad;MontoAsegurado;TipoPago;ModoPago;Fiador;Fiador2;OtroSeguro;Record;Edad;EstadoCivil;Salario;Fraude
1924753.44;12.25;464.6666667;Nacional;10421.15385;310530.303;A;Tarjeta;Si;No;Si;R1;32.5;Soltero;4218.363;No
1156035.06;17.25;464.6666667;Nacional;8586.107692;189318.1818;A;Tarjeta;No;No;Si;R2;33;Soltero;3574.039;No
5395016.96;12.25;464.6666667;Nacional;20176.92308;855984.8485;A;Tarjeta;No;No;No;R0;32.5;Soltero;5763.05;No
1928673.1;17.25;464.6666667;Nacional;10975.75;310530.303;A;Tarjeta;Si;No;No;R0;32;Soltero;3880.559;No
10617088.16;17.25;464.6666667;Nacional;72641.99231;1674166.667;B;Tarjeta;No;No;Si;R1;34;Soltero;7009.986;No
2869204.36;17.75;469.3333333;Nacional;14576.55385;1825681.818;A;Tarjeta;Si;No;No;R0;37;Soltero;27005.439;No
5171479;17.25;474.6666667;Nacional;37657.07692;795378.7879;B;Tarjeta;No;No;No;R0;33;Soltero;6272.995;No
3977263;17.25;474.6666667;Nacional;17207.11154;613560.6061;A;Tarjeta;No;No;No;R0;31;Soltero;4065.024;No
4949405.52;12.25;474.6666667;Nacional;18788.07692;765075.7576;A;Tarjeta;Si;No;No;R0;37.5;Soltero;9663.517;No
2683530;17.25;474.6666667;Nacional;13239.8;416590.9091;A;Tarjeta;Si;Si;Si;R1;36;Soltero;6433.365;No
2185941;17.25;474.6666667;Nacional;11713.91154;340833.3333;A;Tarjeta;No;No;No;R0;39;Soltero;4084.063;No
1986907;17.25;474.6666667;Nacional;11103.56154;310530.303;A;Tarjeta;No;No;No;R0;34;Soltero;8754.227;No
5893968.88;17.25;474.6666667;Nacional;13520.43462;916590.9091;C;Tarjeta;No;No;No;R0;45.5;Soltero;6974.673;No
1091246;17.25;474.6666667;Nacional;6562.080769;174166.6667;C;Tarjeta;No;No;No;R0;45.5;Soltero;6022.644;No
3181119;17.25;475.3333333;Nacional;25096.65385;492348.4848;B;Tarjeta;No;No;No;R0;38.5;Soltero;7943.766;No
4972445;17.25;474.6666667;Nacional;12100.36538;765075.7576;C;Tarjeta;No;No;Si;R1;44;Soltero;6102.829;No
